Event,Protocols,event_type,count_rows
ABORT,NA,repro,9285
AIOK,NA,unknown,2307
BANAMIN,BAN.IV,health,121
BANAMIN,BANAMINE,health,7394
BANAMIN,BANAMINE.IV,health,5301
BANAMIN,NA,health,375
BIRDFLU,Drench,health,5292
BIRDFLU,PILLS,health,1032
BIRDFLU,NA,health,300
BLDYMLK,NA,health,1452
BORN,NA,phase_parameter,39993
BOTTLES,BOTTLES,unknown,20543
BOTTLES,NA,unknown,41
BRED,NA,repro,208324
BULLPEN,NA,repro,3310
CALFSCK,Baytril,unknown,84
CALFSCK,Dextrose,unknown,11
CALFVAC,NA,vac,4836
CHECK,NA,repro,12790
CLFRTRN,NA,unknown,2750
CLOSE,NA,management,70495
CMHLTH,Meloxicam,unknown,159
CMHLTH,NA,unknown,313
CULTURE,Furosemide.IM,health,4
CULTURE,NA,health,49725
CUTTEAT,NA,unknown,198
CYST,NA,repro,1
DA,NA,health,1
DEHYDR,NA,health,248
DIED,NA,lact_parameter,4667
DNB,NA,repro,10271
DOWN,BANAMINE,health,90
DOWN,No Banamine,health,1564
DRAXXIN,NA,unknown,5
DRY,DRY NO TUBES,lact_parameter,16
DRY,DRYCLOX.IM,lact_parameter,772
DRY,DRYLCOX.IMM,lact_parameter,11849
DRY,SPCTMAST DC,lact_parameter,8697
DRY,SPECTRA-DC.IM,lact_parameter,26375
DRY,NA,lact_parameter,3386
DSTOCIA,DYST Excenel,unknown,4
DSTOCIA,DYST POLYFLEX,unknown,11
EARINFT,Infection-Draxx,unknown,313
EARINFT,Infection-Excen,unknown,3
EARINFT,Infection-Nuflo,unknown,51
EXCEDE,BOLA,health,125
EXCEDE,EXCEDE.IM,health,5
EXCEDE,NA,health,3
EXCENEL,EXCENEL.IM,unknown,43959
EXCENEL,NA,unknown,9
FAT,NA,unknown,10
FERA,NA,unknown,1376
FEVER,FEVER,health,33
FEVER,Fever,health,10
FEVER,Meloxicam,health,173
FEVER,NA,health,21
FPRVTRT,NA,unknown,157
FR.FEVE,FRESH FEVER,unknown,1
FRESH,71,lact_parameter,1
FRESH,NA,lact_parameter,75861
GNRH,NA,repro,43733
GOHOME,NA,management,11325
GROUP,NA,unknown,14
HEAT,NA,repro,17157
HOSP,PENICILLIN,management,18
HOSP,NA,management,65
INFUSE,INF.TERR,unknown,2
INFUSE,INFUSE.CLORIN,unknown,1
INFUSE,INFUSE.TETRAC,unknown,4572
INFUSE,NA,unknown,1152
KETONE,NA,unknown,72125
KETOSIS,KETOSIS,health,17380
KETOSIS,Ketosis,health,26
LAME,DURAMYCIN,health,232
LAME,EXCEDE,health,3
LAME,Foot Rot,health,598
LAME,Foot rot,health,198
LAME,Hemorrhage,health,103
LAME,LA 200,health,1231
LAME,LA200.IM,health,272
LAME,LAME BLOCK,health,16
LAME,LAME TRIM,health,821
LAME,LAME.COW,health,22
LAME,LAME/WRAP,health,27
LAME,Leg-AboveFoot,health,392
LAME,Other,health,764
LAME,PENICILLIN,health,358
LAME,Sole Ulcer,health,4914
LAME,Stiffle,health,1235
LAME,Thin Sole,health,1991
LAME,Toe Ulcer,health,89
LAME,Toe ulcer,health,243
LAME,Trim Only,health,155
LAME,Wart,health,413
LAME,Warts,health,28
LAME,White Line,health,7436
LAME,NA,health,2167
LASIX,FUROSEMIDE,unknown,1130
LBST,NA,unknown,5
LUT,NA,repro,153798
MAST,MAST,health,1609
MAST,NA,health,17714
MEASURE,NA,measure,1949
METR,INF.CLORO,health,569
METR,INF.TERR,health,10
METR,Metri.Fever,health,959
METR,Mild Metr 2d,health,356
METR,Mild Metr 3d,health,3797
METR,Milk Metr 2d,health,7
METR,Sever Metr 3d,health,9
METR,Sever Metr 5d,health,68
METR,NA,health,18
MFEVER,Milk Fever,health,993
MFEVER,NA,health,290
MOVE,NA,repro,221181
MOVEAI,NA,repro,23047
MPFLEXP,NA,unknown,4057
NAVEL,Infection-Excen,health,1
NAVEL,Infection-Penec,health,13
NAXCEL,NAXCEL.IM,health,5404
NUFLR,NUFLOR,unknown,128
OK,NA,repro,21917
OPEN,NA,repro,23334
OUT,NA,unknown,14800
